city	country	lat	lon	PM25
OSTRAVA	Czech Republic	49.820923	18.262524	32
Cochabamba	Bolivia, Plurinational States of	-17.413977	-66.165322	32
NEVSEHIR	Turkey	38.624694	34.714151	32
Bojnord	Iran	#N/A	#N/A	32
San Carlos City	Philippines	10.483734	123.412896	32
Salem	India	11.664325	78.146014	32
DABROWA GORNICZA	Poland	50.32169	19.194913	32
ORDU	Turkey	40.986166	37.879721	32
Jinchang	China	38.520089	102.188043	32
Kinmen	China	24.445833	118.376111	32
Milagro	Ecuador	-2.138768	-79.594054	32
Mashhad	Iran	36.260462	59.616755	32
KARS	Turkey	40.601338	43.097453	32
Panzhihua	China	26.582347	101.718637	32
Nakhon Sawan	Thailand	15.693007	100.122559	32
Changhua	China	23.987919	120.469464	32
Yangjiang	China	21.857958	111.982232	32
Tehran	Iran	35.689197	51.388974	32
TYCHY	Poland	50.121801	19.020002	32
ZAKOPANE	Poland	49.299181	19.949562	32
TOMASZOW MAZOWIECKI	Poland	51.531194	20.008647	32
JAROSLAW	Poland	50.016146	22.677717	32
Quanzhou	China	24.874132	118.675676	32
Qujing	China	25.49	103.796167	32
Beirut	Lebanon	33.888629	35.495479	32
BRESCIA	Italy	45.541553	10.211802	31
Cubatão, REGIÃO METROPOLITANA DA BAIXADA SANTISTA	Brazil	-23.960833	-46.333889	31
ZORY	Poland	50.044724	18.70064	31
Saraburi	Thailand	14.528915	100.910142	31
Sebokeng	South Africa	-26.576847	27.842865	31
BILECIK	Turkey	40.142573	29.97933	31
Fuzhou	China	26.074508	119.296494	31
Yunfu	China	22.915094	112.044491	31
Pernik	Bulgaria	42.605186	23.037837	31
MIELEC	Poland	50.287063	21.42381	31
ANTALYA	Turkey	36.896891	30.713323	31
CECCANO	Italy	41.569865	13.336405	31
Kakinada	India	16.989065	82.247465	31
ZAWIERCIE	Poland	50.487743	19.416626	31
Temuco	Chile	-38.735902	-72.590374	31
Jiayuguan	China	39.77313	98.289152	31
MONZA	Italy	45.5845	9.274449	31
Mpumalanga	South Africa	-29.80397	30.631495	31
MARDIN	Turkey	37.312903	40.733951	31
Andacollo	Chile	-30.235795	-71.082803	31
Smolian	Bulgaria	41.577415	24.701087	31
GORNA ORIAHOVICA	Bulgaria	43.146778	25.71805	31
Shimla	India	31.104814	77.173403	31
Yunlin	China	38.28539	109.734589	31
Chiayi	China	23.451843	120.255462	31
YOZGAT	Turkey	39.821049	34.808573	31
Phra Nakhon Si Ayutthaya	Thailand	14.353213	100.56896	31
Phrae	Thailand	18.144577	100.140283	31
TRINEC	Czech Republic	49.677631	18.67079	31
Zanjan	Iran	36.683005	48.508721	31
Yantai	China	37.463822	121.447935	31
MYSZKOW	Poland	50.570684	19.314464	30
PIOTRKOW TRYBUNALSKI	Poland	51.405172	19.703024	30
KARABUK	Turkey	41.19562	32.622654	30
NOWY TOMYSL	Poland	52.318188	16.128255	30
Yuxi	China	24.347324	102.527197	30
Samut Sakhon	Thailand	13.547522	100.274396	30
TARNOWSKIE GORY	Poland	50.435947	18.846025	30
MANISA	Turkey	38.614034	27.429562	30
SARAJEVO	Bosnia and Herzegovina	43.856259	18.413076	30
Tinsukia	India	27.492191	95.346775	30
ERZINCAN	Turkey	39.746797	39.491124	30
MILANO	Italy	45.465422	9.185924	30
Kaohsiung	China	22.627278	120.301435	30
JELENIA GORA	Poland	50.904417	15.719362	30
Weihai	China	37.513068	122.12042	30
Saida	Lebanon	33.562609	35.368727	30
Belén	Costa Rica	10.406616	-85.589507	30
Dibrugarh	India	27.472833	94.911962	30
Kottayam	India	9.591567	76.522153	30
AGRI	Turkey	39.719074	43.050591	30
OLESNO	Poland	50.87526	18.41472	30
Rancagua	Chile	-34.170132	-70.740626	30
KIRSEHIR	Turkey	39.146078	34.159499	30
VELES	The former Yugoslav Republic of Macedonia	41.716456	21.772297	30
BOCHNIA	Poland	49.968458	20.430328	30
Pleven	Bulgaria	43.417042	24.606685	30
Kozhikode	India	11.258753	75.78041	30
SIVAS	Turkey	39.750545	37.015022	30
Zamdela	South Africa	-26.866227	27.869238	30
IZMIR	Turkey	38.423734	27.142826	30
Lampang	Thailand	18.28884	99.490874	29
Hong Kong	China	22.396428	114.109497	29
Golaghat	India	26.523851	93.962337	29
Tainan	China	36.651216	117.12	29
Thiruvananthapuram	India	8.524139	76.936638	29
Tbilisi	Georgia	41.715138	44.827096	29
Portmore	Jamaica	17.961127	-76.889391	29
WROCLAW	Poland	51.107885	17.038538	29
Zhoushan	China	29.985295	122.207216	29
Heredia	Costa Rica	10.473523	-84.016742	29
Taichung	China	24.163165	120.674669	29
SAMSUN	Turkey	41.279703	36.336067	29
SIERADZ	Poland	51.595601	18.730299	29
ROVINARI	Romania	44.900003	23.154346	29
Margherita	India	27.291066	95.669461	29
Rayagada	India	19.171209	83.416323	29
Santiago	Chile	-33.44889	-70.669265	29
KIELCE	Poland	50.866077	20.628568	29
Valdivia	Chile	-39.817379	-73.242533	29
Aizawl	India	23.727107	92.717639	29
CASIRATE D'ADDA	Italy	45.495122	9.568045	29
Miskolc	Hungary	48.096363	20.762386	29
Itagüí	Colombia	6.167568	-75.614671	29
CZESTOCHOWA	Poland	50.811819	19.120309	29
CASSINO	Italy	41.490789	13.833378	29
Meknes	Morocco	33.873016	-5.54073	29
STAROGARD GDANSKI	Poland	53.965614	18.516274	29
Gyeonggi	Republic of Korea	37.4138	127.5183	28
Salamanca	Mexico	20.573931	-101.195717	28
Kardjaly	Bulgaria	41.633844	25.377712	28
Sambalpur	India	21.466872	83.981166	28
Khon Kaen	Thailand	16.441935	102.835992	28
Nakhon Ratchasima	Thailand	14.9799	102.097769	28
PABIANICE	Poland	51.65673	19.35776	28
FRYDEK-MISTEK	Czech Republic	49.68193	18.367322	28
Samut Prakan	Thailand	13.599096	100.599832	28
OTWOCK	Poland	52.105319	21.261625	28
Nanded	India	19.138251	77.320955	28
Cebu	Philippines	10.315699	123.885437	28
SLIVEN	Bulgaria	42.681654	26.322869	28
SIEDLCE	Poland	52.167603	22.290164	28
KIRKLARELI	Turkey	41.735472	27.224369	28
Abakaliki	Nigeria	6.323061	8.112012	28
OSTROW WIELKOPOLSKI	Poland	51.654986	17.806826	28
SKIERNIEWICE	Poland	51.954717	20.15833	28
HATAY	Turkey	36.202284	36.161322	28
MEDA	Italy	45.661124	9.152425	28
TRZEBINIA	Poland	50.15847	19.4694	28
LOMZA	Poland	53.17812	22.059032	28
Tura	India	25.514071	90.203214	28
